Index;m_in;m_out;Direction;Surf_Dir;Surf_Dip;Type ;Structural ;F_Az;F_Dip;F_Quadramt;F_Pitch ;F_F;Q;Filling;Aperture_txt;Ap_min;F_Ap;Ap_max;Extent_Raw;Ext_min;Ext_max;Hmin;F_H;Hmax;Lmin;F_L;Lmax;Rock_Type;Comments;Outcrop Name;Out_Code;Outcrop Zone
0;0;1;N;160;54;fracture;N;160;82;E;;F5;1;;0;0;0;0;>10;10;25;8.09;14.16;20.23;5.88;10.29;14.69;Skarn;;Boquillas;BOQ1;Boq Main
1;0;1;N;160;54;fracture;N;150;89;E;;F5;1;;0;0;0;0;>10;10;25;8.09;14.16;20.23;5.88;10.29;14.69;Skarn;;Boquillas;BOQ1;Boq Main
2;0;1;N;160;54;fracture;N;150;80;W;;F5;1;;0;0;0;0;>10;10;25;8.09;14.16;20.23;5.88;10.29;14.69;Skarn;;Boquillas;BOQ1;Boq Main
3;0;1;N;160;54;fracture;N;70;85;S;;F1;5;;0;0;0;0;2;2;2;1.62;1.62;1.62;1.18;1.18;1.18;Skarn;;Boquillas;BOQ1;Boq Main
4;0;1;N;160;54;fracture;N;28;60;E;;F3;2;;0;0;0;0;[0.5-1];0.5;1;0.4;0.61;0.81;0.29;0.44;0.59;Skarn;;Boquillas;BOQ1;Boq Main
5;0;1;N;160;54;fracture;N;93;30;N;;F6;8;;0;0;0;0;[0.4-2];0.4;2;0.32;0.97;1.62;0.24;0.71;1.18;Skarn;discreet frature;Boquillas;BOQ1;Boq Main
6;1;2;N;160;67;fracture;N;172;85;W;;F5;4;;0;0;0;0;>10;10;25;9.21;16.11;23.01;3.91;6.84;9.77;Skarn;;Boquillas;BOQ1;Boq Main
7;1;2;N;160;67;fracture;N;38;82;E;;F3;1;iron oxydes;0;0;0;0;1;1;1;0.92;0.92;0.92;0.39;0.39;0.39;Skarn;;Boquillas;BOQ1;Boq Main
8;2;3;N;160;67;fracture;N;82;80;S;;F7;5;iron brownish;<mm;0.05;0.05;0.05;0.5;0.5;0.5;0.46;0.46;0.46;0.2;0.2;0.2;Skarn;;Boquillas;BOQ1;Boq Main
9;2;3;N;160;67;fracture;N;162;72;W;;F5;3;iron brownish;0;0;0;0;>10;10;25;9.21;16.11;23.01;3.91;6.84;9.77;Skarn;;Boquillas;BOQ1;Boq Main
10;2;3;N;160;67;fracture;N;60;15;W;;F1;3;;0;0;0;0;1;1;1;0.92;0.92;0.92;0.39;0.39;0.39;Skarn;;Boquillas;BOQ1;Boq Main
11;3;4;N;130;75;fracture;N;128;80;SW;;F2;4;dark brown oxydes;0;0;0;0;2;2;2;1.93;1.93;1.93;0.52;0.52;0.52;Skarn;;Boquillas;BOQ1;Boq Main
12;3;4;N;130;75;fracture;N;50;75;SE;;F1;6;;0;0;0;0;3;3;3;2.9;2.9;2.9;0.78;0.78;0.78;Skarn;;Boquillas;BOQ1;Boq Main
13;3;4;N;130;75;fracture;N;2;28;W;;F5;7;;0;0;0;0;[0.2-0.4];0.2;0.4;0.19;0.29;0.39;0.05;0.08;0.1;Skarn;;Boquillas;BOQ1;Boq Main
14;4;6;N;130;75;quartz vein;N;110;60;N;;F4;1;;0;0;0;0;[1-5];1;5;0.97;2.9;4.83;0.26;0.78;1.29;Skarn;;Boquillas;BOQ1;Boq Main
15;4;6;N;130;75;fracture;N;120;65;N;;F2;1;;0;0;0;0;[1-10];1;10;0.97;5.31;9.66;0.26;1.42;2.59;Skarn;;Boquillas;BOQ1;Boq Main
16;6;7;N;130;75;fracture;N;28;72;E;;F3;4;;0;0;0;0;0.4;0.4;0.4;0.39;0.39;0.39;0.1;0.1;0.1;Skarn;;Boquillas;BOQ1;Boq Main
